State,2020-01_Zillow,2020-02_Zillow,2020-03_Zillow,2020-04_Zillow,2020-05_Zillow,2020-06_Zillow,2020-07_Zillow,2020-08_Zillow,2020-09_Zillow,2020-10_Zillow,2020-11_Zillow,2020-12_Zillow,2021-01_Zillow,2021-02_Zillow,2021-03_Zillow,2021-04_Zillow,2021-05_Zillow,2021-06_Zillow,2021-07_Zillow,2021-08_Zillow,2021-09_Zillow,2021-10_Zillow,2021-11_Zillow,2021-12_Zillow,2022-01_Zillow,2022-02_Zillow,2022-03_Zillow,2022-04_Zillow,2022-05_Zillow,2020-01_COVID,2020-02_COVID,2020-03_COVID,2020-04_COVID,2020-05_COVID,2020-06_COVID,2020-07_COVID,2020-08_COVID,2020-09_COVID,2020-10_COVID,2020-11_COVID,2020-12_COVID,2021-01_COVID,2021-02_COVID,2021-03_COVID
Massachusetts,428778.0701063945,431176.71786091913,434177.5445556178,436797.2593960623,438365.1227765352,439070.6290509378,439882.8235398688,442374.5855526092,447150.2631476191,453504.99271041126,460897.4697601101,468295.4706053312,474985.830883091,481603.0872207265,488288.9197803216,495722.2930628764,503478.2492595184,510815.82472529256,515794.9923356797,517482.9359054157,516886.0208362,516494.23785360967,517406.4879138525,519487.3807050865,524630.6368801704,532755.0142827757,543685.3964561089,553898.7629823366,562647.9680718154,0.0,1.0,191.0,860.0,319.0,1538.0,10236.0,1586.0,716.0,89.0,273.0,483.0,775.0,862.0,56481.0
Michigan,173824.11755868935,175011.68001431212,176457.1824604371,177817.03655890157,178477.88066629894,178705.07589686583,178955.90370730337,179937.57691745376,182031.6478316965,184601.2552975984,187526.16686616943,190192.89567120516,192934.6206474605,195934.06691186092,199121.6292250099,202395.94382777123,205750.2758933031,209224.68767779725,211838.4911939701,212970.99291339595,212776.014541418,212506.05817346493,212848.3418615688,213706.46236278352,215874.33020966,219218.17678423933,223437.64341272748,227522.2265512788,230621.41841439472,0.0,0.0,2.0,143.0,21.0,123.0,129.0,2554.0,2864.0,145.0,373.0,492.0,554.0,605.0,15334.0
Minnesota,258284.07058080577,260062.2285976934,262006.9912072209,263744.4016035658,264644.10216524283,264859.40389271674,264882.38066900126,265698.0104382642,267819.5615767242,270916.5470704203,274534.6123596166,278105.34564216126,281386.4214116755,284720.7592428037,288045.5187426386,291747.5336304679,295925.3648139744,300483.42308836617,304457.6663427486,306658.960198601,307197.3437008722,307261.95637204935,308074.58388732857,309527.84310037387,312271.4463305727,315840.7913409785,320309.5298669774,324838.39166566473,328748.5822117407,0.0,0.0,53.0,162.0,462.0,20.0,770.0,2036.0,2544.0,227.0,663.0,905.0,1016.0,1332.0,4873.0
Mississippi,140918.29388401596,141207.3960208439,141884.8473641124,142823.00425976457,143569.8735079168,143840.626845435,144605.03652403687,145929.15777743838,147877.8541869199,149363.88661150113,150568.12228057862,151406.31725226648,152457.94507941464,153772.55416495088,155335.636882378,157137.44479513107,159114.79725318518,161295.96632353644,163511.080960868,165447.2560607927,166812.34308924782,168278.65576857663,170369.6419935214,172606.72461027055,174410.0542687601,175307.09965852686,176065.50273530497,176890.60049763057,177841.16865338385,0.0,0.0,3.0,102.0,263.0,204.0,367.0,275.0,834.0,839.0,1108.0,675.0,2008.0,2065.0,2132.0
Missouri,168887.11677245947,169989.3094297434,171225.39117836885,172338.98552982186,173079.86221279285,173485.71035343988,174239.4321615518,175670.54382980082,178095.59612303614,180842.6825271271,183779.254544914,186290.99600014288,188461.86482314343,190721.1933204912,193414.17994358044,196622.20348428172,200012.2713613887,203285.43683692697,205657.7968331359,206872.44443117944,207131.48922529843,207627.1111632907,208842.7617485115,210670.3609279289,213457.6482209773,217023.3560227024,221234.98743720012,225250.07858971707,228508.1897321002,0.0,0.0,1.0,35.0,4.0,25.0,18.0,1381.0,369.0,604.0,1198.0,1764.0,2143.0,2302.0,4787.0
Montana,280981.16708848247,283135.63291084976,285906.9833205632,288441.4278721874,290014.61047507136,290649.3237652657,291535.0323858624,293776.5941025019,297836.4267159341,302779.9622053881,308822.15298036084,315354.6450830279,322066.0787423298,329144.72211081354,336977.9826326168,345864.21632392704,355904.52487715567,365985.9982054103,375051.2495878239,382349.7677399894,387855.9347803631,392979.81402597233,398246.3299723318,404042.23710774834,411447.0207564288,419536.70088892354,429206.6849375628,439418.7037274611,448944.3950356214,0.0,0.0,31.0,29.0,17.0,3.0,312.0,87.0,6.0,111.0,274.0,371.0,442.0,489.0,490.0
Nebraska,182784.5437156891,183735.33344183184,184683.6799953069,185597.47289502845,186268.67488047984,186863.31790215205,187779.9035559447,189342.7053384324,191657.15519094432,194127.35173463743,196645.3580908777,198869.5841038325,201088.7975454848,203490.8385639789,206217.39115185643,209261.89131301077,212515.42492996188,215701.29380455587,218002.5020135768,218923.45877942807,218560.9799356768,218229.59172789997,218665.55511836024,219881.82535007576,222353.00973218784,225862.27607241765,230315.62902911825,234667.2683756936,238231.4690662726,0.0,13.0,1.0,12.0,617.0,1.0,47.0,57.0,43.0,964.0,1315.0,1442.0,1525.0,1548.0,1553.0
Nevada,304801.02428018703,306508.79995664785,308406.61247528065,309738.3930468447,310081.3132990432,309862.91508706263,309910.3986692748,311111.1757354739,313331.4443189829,316180.2950092862,319813.7175206299,323891.91520301346,328055.9344633278,332470.5120725163,337605.3409695811,343640.9016031906,350889.786347122,359159.60790890147,367696.4486031106,375259.34308891394,381421.4260989151,386850.4400146132,392481.9088803365,398017.0855957653,404812.1894445701,412896.793588435,422834.8910199556,432994.6966612086,442157.2708394218,0.0,0.0,5.0,3.0,7.0,114.0,13.0,25.0,65.0,122.0,340.0,377.0,461.0,549.0,549.0
New Hampshire,289945.5707298387,291643.43950984936,293764.5797331265,295798.29787748493,297438.3651056186,298665.2165412181,300074.8558789609,302703.497456735,307127.436240447,312727.54157859884,318903.3844001496,324978.191565609,330782.4172196712,336861.40116149123,343139.49686430814,350200.7691639781,357605.5357574913,364906.799825666,370423.7464870344,372620.1621367005,372031.3485930174,370857.22921931633,371223.49235090736,373193.41742720624,378477.0601704768,386560.40670718026,397145.5961365807,407628.0663846708,416389.0322643562,0.0,0.0,27.0,40.0,6.0,1474.0,1.0,2.0,562.0,26.0,231.0,430.0,1109.0,1340.0,1362.0
New Jersey,353406.14304168103,355448.4949347692,358013.0172299066,360492.65855521866,362329.8911366149,363033.8991893677,363083.1511378155,364055.9427432384,367029.4117811399,371637.0836787976,377309.2191377466,383329.5646277135,388940.2667123638,394642.25007285806,399910.5319272576,405294.7422234546,410580.0075610143,415812.5220445573,420483.0412814543,423596.8999083312,425372.7327500922,426915.8514594,429298.2395214549,432297.9374036085,436207.1995385037,440821.5262760168,446702.7684884468,452787.0305259738,458953.5647999483,0.0,0.0,268.0,903.0,8219.0,1229.0,10482.0,1267.0,4677.0,1669.0,31850.0,44104.0,61391.0,69277.0,71635.0
